session,deserve_treatment,top_performer,high_envelope,effort,rank,endowment,report,belief,age,female
4,0,Bottom performer,15 Euros,29,19,15,1,13,23,1
4,0,Top performer,15 Euros,37,9,15,2,4,18,0
4,0,Bottom performer,15 Euros,30,18,15,1,18,21,0
4,0,Top performer,10 Euros,41,3,10,2,4,19,0
4,0,Top performer,10 Euros,40,6,10,1,3,21,1
4,0,Top performer,10 Euros,41,3,10,2,10,27,1
4,0,Top performer,10 Euros,44,2,10,2,3,22,0
4,0,Top performer,10 Euros,37,9,10,2,9,21,1
4,0,Top performer,15 Euros,38,7,15,2,7,27,0
4,0,Top performer,10 Euros,37,9,10,1,4,25,0
4,0,Bottom performer,15 Euros,27,24,15,1,20,18,1
4,0,Top performer,15 Euros,38,7,15,1,8,25,0
4,0,Top performer,10 Euros,41,3,10,1,5,21,0
4,0,Bottom performer,10 Euros,32,16,10,2,18,23,0
4,0,Bottom performer,10 Euros,34,13,10,1,19,23,0
4,0,Bottom performer,15 Euros,28,21,15,2,17,22,1
4,0,Bottom performer,15 Euros,28,21,15,5,17,20,1
4,0,Top performer,15 Euros,52,1,15,1,1,27,0
4,0,Bottom performer,15 Euros,29,19,15,1,18,22,0
4,0,Bottom performer,10 Euros,33,14,10,1,14,22,1
4,0,Bottom performer,15 Euros,28,21,15,2,15,24,0
4,0,Top performer,15 Euros,35,12,15,2,6,19,1
4,0,Bottom performer,10 Euros,33,14,10,1,15,24,1
4,0,Bottom performer,10 Euros,31,17,10,2,18,21,1
5,1,Top performer,15 Euros,32,12,15,2,3,21,0
5,1,Top performer,15 Euros,32,12,15,4,10,24,1
5,1,Top performer,15 Euros,39,5,15,1,5,28,1
5,1,Bottom performer,10 Euros,30,17,10,2,19,21,0
5,1,Top performer,15 Euros,46,1,15,1,5,21,0
5,1,Top performer,15 Euros,38,6,15,2,7,27,1
5,1,Bottom performer,10 Euros,28,22,10,1,18,22,0
5,1,Top performer,15 Euros,33,10,15,1,8,26,1
5,1,Top performer,15 Euros,36,8,15,3,1,20,0
5,1,Top performer,15 Euros,33,10,15,3,10,26,0
5,1,Top performer,15 Euros,32,12,15,1,12,20,1
5,1,Top performer,15 Euros,38,6,15,1,3,21,0
5,1,Bottom performer,10 Euros,30,17,10,1,19,23,1
5,1,Top performer,15 Euros,40,3,15,1,3,21,1
5,1,Top performer,15 Euros,42,2,15,1,3,22,0
5,1,Bottom performer,10 Euros,30,17,10,2,14,24,1
5,1,Bottom performer,10 Euros,30,17,10,1,18,20,0
5,1,Top performer,15 Euros,32,12,15,1,5,22,0
5,1,Top performer,15 Euros,40,3,15,1,5,27,0
5,1,Bottom performer,10 Euros,26,24,10,2,14,19,0
5,1,Bottom performer,10 Euros,27,23,10,4,20,21,1
5,1,Bottom performer,10 Euros,29,21,10,1,16,22,1
5,1,Top performer,15 Euros,34,9,15,2,2,19,1
5,1,Top performer,15 Euros,32,12,15,1,9,20,0
6,0,Bottom performer,15 Euros,32,18,15,2,14,22,0
6,0,Bottom performer,10 Euros,29,20,10,3,16,22,0
6,0,Top performer,10 Euros,36,5,10,1,7,23,1
6,0,Bottom performer,10 Euros,33,13,10,2,15,21,0
6,0,Top performer,10 Euros,36,5,10,3,8,28,1
6,0,Top performer,10 Euros,42,2,10,5,3,24,0
6,0,Top performer,15 Euros,39,4,15,1,8,19,0
6,0,Top performer,10 Euros,35,9,10,1,5,23,0
6,0,Top performer,15 Euros,34,11,15,2,5,21,0
6,0,Top performer,15 Euros,35,9,15,2,1,20,0
6,0,Bottom performer,10 Euros,33,13,10,1,16,20,0
6,0,Top performer,15 Euros,36,5,15,1,4,26,1
6,0,Top performer,10 Euros,40,3,10,4,5,23,0
6,0,Top performer,15 Euros,34,11,15,5,9,23,1
6,0,Bottom performer,15 Euros,28,23,15,6,19,21,0
6,0,Bottom performer,10 Euros,33,13,10,3,17,38,1
6,0,Bottom performer,10 Euros,29,20,10,2,22,27,1
6,0,Bottom performer,15 Euros,32,18,15,1,15,18,0
6,0,Bottom performer,15 Euros,29,20,15,2,19,34,0
6,0,Top performer,10 Euros,48,1,10,2,1,25,0
6,0,Top performer,15 Euros,36,5,15,1,7,26,0
6,0,Bottom performer,10 Euros,33,13,10,3,14,23,1
6,0,Bottom performer,15 Euros,27,24,15,2,13,22,0
6,0,Bottom performer,15 Euros,33,13,15,2,17,39,0
7,1,Top performer,15 Euros,32,10,15,1,7,22,0
7,1,Top performer,15 Euros,34,7,15,1,3,24,1
7,1,Top performer,15 Euros,32,10,15,1,4,21,0
7,1,Bottom performer,10 Euros,29,18,10,2,16,18,0
7,1,Top performer,15 Euros,41,3,15,1,6,30,0
7,1,Top performer,15 Euros,43,1,15,1,1,30,0
7,1,Top performer,15 Euros,40,4,15,1,3,26,0
7,1,Top performer,15 Euros,34,7,15,2,10,24,1
7,1,Bottom performer,10 Euros,29,18,10,2,14,19,0
7,1,Bottom performer,10 Euros,29,18,10,1,16,20,0
7,1,Bottom performer,10 Euros,30,15,10,1,15,31,0
7,1,Bottom performer,10 Euros,28,22,10,2,14,20,1
7,1,Top performer,15 Euros,39,5,15,2,4,31,0
7,1,Top performer,15 Euros,42,2,15,2,3,22,1
7,1,Top performer,15 Euros,37,6,15,1,6,23,0
7,1,Top performer,15 Euros,32,10,15,2,5,28,0
7,1,Top performer,15 Euros,32,10,15,2,8,23,1
7,1,Bottom performer,10 Euros,30,15,10,2,15,19,0
7,1,Top performer,15 Euros,32,10,15,1,8,25,1
7,1,Top performer,15 Euros,33,9,15,1,8,22,0
7,1,Bottom performer,10 Euros,29,18,10,2,13,24,0
7,1,Bottom performer,10 Euros,30,15,10,4,17,34,0
8,0,Top performer,15 Euros,38,5,15,1,9,20,0
8,0,Bottom performer,15 Euros,32,15,15,1,17,19,0
8,0,Bottom performer,10 Euros,30,22,10,2,14,27,0
8,0,Bottom performer,10 Euros,29,23,10,1,14,19,1
8,0,Top performer,10 Euros,37,6,10,6,9,19,1
8,0,Bottom performer,15 Euros,32,15,15,2,20,20,1
8,0,Bottom performer,10 Euros,31,19,10,1,20,19,1
8,0,Top performer,10 Euros,35,11,10,2,8,19,1
8,0,Top performer,15 Euros,39,4,15,1,8,27,1
8,0,Bottom performer,15 Euros,32,15,15,2,14,19,1
8,0,Top performer,10 Euros,40,1,10,1,1,21,1
8,0,Top performer,15 Euros,40,1,15,2,8,21,1
8,0,Top performer,10 Euros,37,6,10,1,4,19,1
8,0,Top performer,15 Euros,37,6,15,1,2,22,0
8,0,Top performer,15 Euros,36,10,15,2,9,19,1
8,0,Bottom performer,10 Euros,23,24,10,1,24,18,0
8,0,Top performer,15 Euros,37,6,15,3,6,19,0
8,0,Bottom performer,10 Euros,31,19,10,2,22,22,1
8,0,Bottom performer,10 Euros,33,13,10,1,15,38,0
8,0,Top performer,10 Euros,34,12,10,1,6,20,1
8,0,Bottom performer,15 Euros,33,13,15,1,18,21,1
8,0,Bottom performer,10 Euros,32,15,10,1,13,34,0
8,0,Bottom performer,15 Euros,31,19,15,4,16,23,0
8,0,Top performer,15 Euros,40,1,15,1,6,19,1
9,0,Bottom performer,10 Euros,34,12,10,1,13,27,0
9,0,Bottom performer,10 Euros,32,16,10,1,17,19,1
9,0,Top performer,15 Euros,35,9,15,1,6,27,0
9,0,Top performer,10 Euros,37,5,10,1,4,23,0
9,0,Bottom performer,10 Euros,34,12,10,1,14,22,0
9,0,Top performer,15 Euros,35,9,15,2,7,19,1
9,0,Top performer,15 Euros,48,1,15,1,1,28,1
9,0,Bottom performer,15 Euros,28,19,15,1,16,25,1
9,0,Bottom performer,10 Euros,29,17,10,6,13,32,0
9,0,Top performer,15 Euros,38,3,15,1,5,17,0
9,0,Bottom performer,15 Euros,29,17,15,1,16,20,0
9,0,Top performer,15 Euros,46,2,15,1,1,26,0
9,0,Bottom performer,10 Euros,34,12,10,2,13,18,0
9,0,Bottom performer,10 Euros,18,22,10,1,15,23,0
9,0,Top performer,15 Euros,36,7,15,1,6,19,1
9,0,Top performer,10 Euros,38,3,10,2,5,23,0
9,0,Top performer,10 Euros,37,5,10,2,6,24,0
9,0,Bottom performer,15 Euros,28,19,15,3,13,22,0
9,0,Bottom performer,15 Euros,33,15,15,3,14,24,0
9,0,Bottom performer,15 Euros,27,21,15,1,18,23,1
9,0,Top performer,10 Euros,35,9,10,2,3,23,1
9,0,Top performer,10 Euros,36,7,10,1,8,27,0
10,1,Bottom performer,10 Euros,28,22,10,5,14,32,1
10,1,Top performer,15 Euros,38,5,15,1,5,22,0
10,1,Top performer,15 Euros,36,9,15,2,7,38,1
10,1,Top performer,15 Euros,34,11,15,2,5,21,0
10,1,Top performer,15 Euros,38,5,15,3,1,22,0
10,1,Bottom performer,10 Euros,21,24,10,4,20,27,1
10,1,Top performer,15 Euros,36,9,15,4,8,23,1
10,1,Bottom performer,10 Euros,25,23,10,1,16,19,0
10,1,Top performer,15 Euros,38,5,15,1,1,27,0
10,1,Top performer,15 Euros,38,5,15,2,9,24,0
10,1,Bottom performer,10 Euros,31,18,10,1,14,19,0
10,1,Bottom performer,10 Euros,33,14,10,1,15,23,0
10,1,Top performer,15 Euros,34,11,15,6,10,23,0
10,1,Bottom performer,10 Euros,29,20,10,4,13,19,0
10,1,Top performer,15 Euros,40,4,15,1,1,20,0
10,1,Bottom performer,10 Euros,33,14,10,1,15,19,1
10,1,Bottom performer,10 Euros,32,17,10,1,18,20,1
10,1,Top performer,15 Euros,34,11,15,1,9,21,0
10,1,Bottom performer,10 Euros,33,14,10,5,16,25,1
10,1,Top performer,15 Euros,42,2,15,3,7,23,1
10,1,Bottom performer,10 Euros,30,19,10,3,16,22,1
10,1,Top performer,15 Euros,44,1,15,1,1,21,0
10,1,Bottom performer,10 Euros,29,20,10,6,16,34,0
10,1,Top performer,15 Euros,41,3,15,2,5,25,1
11,0,Top performer,15 Euros,38,3,15,1,4,33,0
11,0,Top performer,15 Euros,32,9,15,5,5,28,1
11,0,Bottom performer,15 Euros,25,24,15,1,16,22,0
11,0,Top performer,10 Euros,32,9,10,1,12,20,1
11,0,Bottom performer,15 Euros,28,20,15,2,18,29,0
11,0,Bottom performer,15 Euros,28,20,15,2,17,21,0
11,0,Bottom performer,10 Euros,31,14,10,1,14,17,1
11,0,Bottom performer,10 Euros,30,17,10,2,17,30,1
11,0,Top performer,10 Euros,35,5,10,2,4,23,1
11,0,Top performer,15 Euros,39,2,15,2,3,20,0
11,0,Top performer,10 Euros,32,9,10,1,5,26,0
11,0,Bottom performer,10 Euros,27,22,10,2,14,39,0
11,0,Top performer,15 Euros,33,7,15,6,3,21,1
11,0,Bottom performer,10 Euros,30,17,10,1,13,19,0
11,0,Bottom performer,15 Euros,31,14,15,1,18,21,0
11,0,Top performer,10 Euros,35,5,10,3,4,35,1
11,0,Top performer,15 Euros,33,7,15,1,5,25,1
11,0,Bottom performer,15 Euros,31,14,15,1,14,21,0
11,0,Top performer,10 Euros,38,3,10,1,5,33,1
11,0,Top performer,15 Euros,32,9,15,6,2,32,0
11,0,Bottom performer,10 Euros,26,23,10,1,16,18,0
11,0,Top performer,10 Euros,40,1,10,1,2,22,0
11,0,Top performer,15 Euros,32,9,15,2,7,21,0
11,0,Bottom performer,10 Euros,30,17,10,2,16,22,0
12,1,Top performer,15 Euros,42,2,15,1,1,26,0
12,1,Top performer,15 Euros,37,5,15,3,5,22,1
12,1,Bottom performer,10 Euros,28,19,10,1,14,24,0
12,1,Top performer,15 Euros,37,5,15,5,7,20,1
12,1,Bottom performer,10 Euros,30,17,10,2,15,24,0
12,1,Top performer,15 Euros,44,1,15,1,6,21,1
12,1,Top performer,15 Euros,41,4,15,1,3,23,1
12,1,Bottom performer,10 Euros,28,19,10,2,14,22,1
12,1,Bottom performer,10 Euros,23,24,10,1,15,24,1
12,1,Bottom performer,10 Euros,25,22,10,1,20,26,1
12,1,Top performer,15 Euros,36,10,15,1,1,19,0
12,1,Top performer,15 Euros,37,5,15,1,4,19,0
12,1,Bottom performer,10 Euros,29,18,10,6,15,30,0
12,1,Top performer,15 Euros,35,12,15,2,10,29,1
12,1,Bottom performer,10 Euros,32,15,10,2,16,29,1
12,1,Top performer,15 Euros,35,12,15,1,2,25,0
12,1,Bottom performer,10 Euros,24,23,10,2,13,21,0
12,1,Bottom performer,10 Euros,27,21,10,1,18,25,0
12,1,Top performer,15 Euros,37,5,15,1,4,21,1
12,1,Top performer,15 Euros,35,12,15,3,10,26,0
12,1,Top performer,15 Euros,42,2,15,2,3,18,0
12,1,Bottom performer,10 Euros,31,16,10,6,16,30,1
12,1,Top performer,15 Euros,36,10,15,1,4,23,0
12,1,Top performer,15 Euros,37,5,15,2,3,20,1
13,0,Top performer,10 Euros,38,6,10,2,8,30,1
13,0,Bottom performer,15 Euros,33,15,15,3,15,25,0
13,0,Top performer,15 Euros,43,2,15,2,1,32,1
13,0,Top performer,10 Euros,36,10,10,3,6,25,1
13,0,Top performer,10 Euros,42,3,10,2,7,20,0
13,0,Bottom performer,10 Euros,27,23,10,3,20,21,0
13,0,Bottom performer,15 Euros,29,21,15,1,18,20,0
13,0,Top performer,15 Euros,38,6,15,6,5,21,0
13,0,Top performer,10 Euros,36,10,10,1,7,24,0
13,0,Top performer,15 Euros,46,1,15,1,6,33,1
13,0,Top performer,10 Euros,37,8,10,1,9,20,1
13,0,Bottom performer,15 Euros,30,19,15,5,22,41,1
13,0,Top performer,15 Euros,34,12,15,6,7,18,0
13,0,Top performer,15 Euros,37,8,15,1,3,19,0
13,0,Bottom performer,10 Euros,32,16,10,1,15,27,1
13,0,Bottom performer,15 Euros,30,19,15,2,14,19,0
13,0,Bottom performer,10 Euros,31,18,10,3,18,23,0
13,0,Top performer,15 Euros,39,5,15,1,9,19,0
13,0,Bottom performer,10 Euros,23,24,10,5,13,44,0
13,0,Bottom performer,10 Euros,32,16,10,3,16,20,0
13,0,Top performer,10 Euros,34,12,10,1,8,23,0
13,0,Bottom performer,10 Euros,29,21,10,4,15,21,1
13,0,Top performer,15 Euros,40,4,15,2,5,20,0
13,0,Top performer,15 Euros,34,12,15,1,9,18,0
14,1,Top performer,15 Euros,40,4,15,1,5,27,0
14,1,Top performer,15 Euros,36,8,15,5,4,23,0
14,1,Bottom performer,10 Euros,23,23,10,6,20,30,1
14,1,Bottom performer,10 Euros,33,13,10,1,17,24,0
14,1,Top performer,15 Euros,43,3,15,4,5,24,1
14,1,Top performer,15 Euros,35,10,15,1,7,23,1
14,1,Top performer,15 Euros,48,2,15,2,1,22,0
14,1,Top performer,15 Euros,34,12,15,1,9,21,0
14,1,Bottom performer,10 Euros,31,17,10,3,15,33,0
14,1,Top performer,15 Euros,35,10,15,2,1,21,1
14,1,Bottom performer,10 Euros,30,19,10,6,20,30,0
14,1,Bottom performer,10 Euros,27,22,10,4,22,22,0
14,1,Top performer,15 Euros,39,5,15,2,6,24,0
14,1,Bottom performer,10 Euros,31,17,10,1,15,25,1
14,1,Bottom performer,10 Euros,29,20,10,1,13,19,1
14,1,Bottom performer,10 Euros,29,20,10,2,18,18,0
14,1,Top performer,15 Euros,38,6,15,2,2,18,0
14,1,Top performer,15 Euros,49,1,15,1,3,24,0
14,1,Bottom performer,10 Euros,23,23,10,1,15,22,0
14,1,Bottom performer,10 Euros,32,16,10,2,14,18,0
14,1,Top performer,15 Euros,36,8,15,6,7,24,1
14,1,Top performer,15 Euros,37,7,15,3,8,22,1
14,1,Bottom performer,10 Euros,33,13,10,5,16,25,1
14,1,Bottom performer,10 Euros,33,13,10,1,15,21,1
15,0,Bottom performer,15 Euros,27,20,15,1,20,20,1
15,0,Bottom performer,15 Euros,28,17,15,6,15,20,0
15,0,Bottom performer,10 Euros,30,14,10,4,17,23,0
15,0,Top performer,10 Euros,33,8,10,1,6,24,1
15,0,Top performer,15 Euros,32,11,15,3,10,32,1
15,0,Top performer,15 Euros,35,6,15,1,6,18,1
15,0,Top performer,10 Euros,32,11,10,2,7,21,1
15,0,Top performer,10 Euros,41,1,10,1,2,26,1
15,0,Top performer,15 Euros,33,8,15,1,7,22,0
15,0,Bottom performer,15 Euros,28,17,15,3,14,26,1
15,0,Top performer,10 Euros,35,6,10,1,4,24,0
15,0,Top performer,15 Euros,41,1,15,3,5,33,1
15,0,Top performer,10 Euros,37,4,10,1,5,22,1
15,0,Top performer,10 Euros,33,8,10,1,5,24,0
15,0,Top performer,15 Euros,36,5,15,1,10,22,1
15,0,Top performer,10 Euros,40,3,10,5,7,27,1
15,0,Bottom performer,10 Euros,28,17,10,2,15,24,1
15,0,Bottom performer,10 Euros,25,22,10,1,14,21,0
15,0,Bottom performer,15 Euros,30,14,15,1,13,25,1
15,0,Top performer,10 Euros,32,11,10,1,4,26,1
15,0,Bottom performer,15 Euros,26,21,15,3,15,21,0
15,0,Bottom performer,15 Euros,29,16,15,1,13,21,1
16,1,Top performer,15 Euros,41,5,15,5,8,26,1
16,1,Top performer,15 Euros,38,9,15,3,1,18,0
16,1,Bottom performer,10 Euros,33,19,10,2,14,27,0
16,1,Top performer,15 Euros,42,4,15,2,5,22,0
16,1,Top performer,15 Euros,41,5,15,1,1,19,0
16,1,Bottom performer,10 Euros,34,17,10,1,16,23,0
16,1,Top performer,15 Euros,40,8,15,1,3,21,0
16,1,Top performer,15 Euros,37,10,15,1,8,23,1
16,1,Bottom performer,10 Euros,36,14,10,1,14,22,0
16,1,Top performer,15 Euros,41,5,15,2,10,20,1
16,1,Top performer,15 Euros,45,2,15,1,4,27,1
16,1,Bottom performer,10 Euros,32,21,10,6,19,19,0
16,1,Bottom performer,10 Euros,29,23,10,2,18,28,1
16,1,Bottom performer,10 Euros,35,16,10,3,16,24,0
16,1,Bottom performer,10 Euros,33,19,10,3,15,25,0
16,1,Top performer,15 Euros,37,10,15,3,1,19,0
16,1,Top performer,15 Euros,37,10,15,1,6,21,0
16,1,Bottom performer,10 Euros,34,17,10,6,13,21,0
16,1,Bottom performer,10 Euros,23,24,10,1,20,22,0
16,1,Bottom performer,10 Euros,36,14,10,4,18,19,1
16,1,Top performer,15 Euros,45,2,15,1,4,23,1
16,1,Top performer,15 Euros,46,1,15,1,1,18,0
16,1,Top performer,15 Euros,37,10,15,1,7,20,1
16,1,Bottom performer,10 Euros,32,21,10,2,17,20,1
17,1,Top performer,15 Euros,41,4,15,2,6,31,0
17,1,Bottom performer,10 Euros,33,13,10,2,15,27,0
17,1,Top performer,15 Euros,37,8,15,3,8,35,1
17,1,Top performer,15 Euros,38,6,15,1,4,22,1
17,1,Bottom performer,10 Euros,28,19,10,2,16,25,0
17,1,Bottom performer,10 Euros,32,16,10,6,16,20,0
17,1,Bottom performer,10 Euros,25,23,10,1,16,18,1
17,1,Bottom performer,10 Euros,18,24,10,1,19,30,0
17,1,Top performer,15 Euros,38,6,15,5,8,23,0
17,1,Top performer,15 Euros,34,12,15,1,1,25,0
17,1,Bottom performer,10 Euros,33,13,10,6,17,19,0
17,1,Top performer,15 Euros,39,5,15,1,10,32,1
17,1,Top performer,15 Euros,43,3,15,1,8,23,1
17,1,Bottom performer,10 Euros,28,19,10,3,24,21,0
17,1,Bottom performer,10 Euros,29,18,10,1,15,20,0
17,1,Top performer,15 Euros,37,8,15,6,5,19,0
17,1,Bottom performer,10 Euros,33,13,10,3,14,28,0
17,1,Top performer,15 Euros,45,1,15,3,10,22,1
17,1,Top performer,15 Euros,45,1,15,2,4,30,1
17,1,Bottom performer,10 Euros,26,22,10,5,19,19,1
17,1,Bottom performer,10 Euros,30,17,10,1,23,19,0
17,1,Top performer,15 Euros,36,11,15,2,9,20,0
17,1,Top performer,15 Euros,37,8,15,1,5,26,0
17,1,Bottom performer,10 Euros,28,19,10,2,19,24,0
